folder,originalPath,newPath,dateTime,order,ext,mediaType,cdnUrl,country,state,citySlug,notionLocationName,notionStoryTitle
Akron,stories/Akron/ash_1221w_story_12_12_2024_8_09_28 AM3521475209040895735.mp4,stories-organized/usa/ohio/akron/01.mp4,2024-12-12T08:09:28,1,mp4,video,https://cdn.ashzaeen.com/usa/ohio/akron/01.mp4,usa,ohio,akron,"Akron, OH",Akron
Akron,stories/Akron/ash_1221w_story_12_12_2024_2_09_07 PM3521656172874484010.mp4,stories-organized/usa/ohio/akron/02.mp4,2024-12-12T14:09:07,2,mp4,video,https://cdn.ashzaeen.com/usa/ohio/akron/02.mp4,usa,ohio,akron,"Akron, OH",Akron
Akron,stories/Akron/ash_1221w_story_12_13_2024_3_51_40 PM3522432555306100642.mp4,stories-organized/usa/ohio/akron/03.mp4,2024-12-13T15:51:40,3,mp4,video,https://cdn.ashzaeen.com/usa/ohio/akron/03.mp4,usa,ohio,akron,"Akron, OH",Akron
Akron,stories/Akron/ash_1221w_story_12_21_2024_4_44_24 PM3528257320402958583.mp4,stories-organized/usa/ohio/akron/04.mp4,2024-12-21T16:44:24,4,mp4,video,https://cdn.ashzaeen.com/usa/ohio/akron/04.mp4,usa,ohio,akron,"Akron, OH",Akron
Akron,stories/Akron/ash_1221w_story_12_22_2024_7_55_32 PM3529078252304295819.mp4,stories-organized/usa/ohio/akron/05.mp4,2024-12-22T19:55:32,5,mp4,video,https://cdn.ashzaeen.com/usa/ohio/akron/05.mp4,usa,ohio,akron,"Akron, OH",Akron
Akron,stories/Akron/ash_1221w_story_12_22_2024_11_38_06 PM3529190331557449794.mp4,stories-organized/usa/ohio/akron/06.mp4,2024-12-22T23:38:06,6,mp4,video,https://cdn.ashzaeen.com/usa/ohio/akron/06.mp4,usa,ohio,akron,"Akron, OH",Akron
Albuquerque,stories/Albuquerque/ash_1221w_story_3_11_2025_6_18_01 PM3586256341645910528.mp4,stories-organized/usa/new-mexico/albuquerque/01.mp4,2025-03-11T18:18:01,1,mp4,video,https://cdn.ashzaeen.com/usa/new-mexico/albuquerque/01.mp4,usa,new-mexico,albuquerque,"Albuquerque, NM",Albuquerque
Albuquerque,stories/Albuquerque/ash_1221w_story_3_12_2025_8_30_25 AM3586685291982481029.mp4,stories-organized/usa/new-mexico/albuquerque/02.mp4,2025-03-12T08:30:25,2,mp4,video,https://cdn.ashzaeen.com/usa/new-mexico/albuquerque/02.mp4,usa,new-mexico,albuquerque,"Albuquerque, NM",Albuquerque
Albuquerque,stories/Albuquerque/ash_1221w_story_3_14_2025_2_42_46 AM3587959932300945199.mp4,stories-organized/usa/new-mexico/albuquerque/03.mp4,2025-03-14T02:42:46,3,mp4,video,https://cdn.ashzaeen.com/usa/new-mexico/albuquerque/03.mp4,usa,new-mexico,albuquerque,"Albuquerque, NM",Albuquerque
Arlington,stories/Arlington/ash_1221w_story_1_28_2025_3_46_23 AM3555407160697143639.mp4,stories-organized/usa/texas/arlington/01.mp4,2025-01-28T03:46:23,1,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/01.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_2_9_2025_5_58_39 PM3564533633769853188.mp4,stories-organized/usa/texas/arlington/02.mp4,2025-02-09T17:58:39,2,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/02.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_2_9_2025_9_14_17 PM3564631893166532834.mp4,stories-organized/usa/texas/arlington/03.mp4,2025-02-09T21:14:17,3,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/03.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_2_15_2025_7_21_16 AM3568561290965851450.mp4,stories-organized/usa/texas/arlington/04.mp4,2025-02-15T07:21:16,4,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/04.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_2_15_2025_7_28_18 AM3568564834825537502.mp4,stories-organized/usa/texas/arlington/05.mp4,2025-02-15T07:28:18,5,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/05.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_8_29_2025_3_54_40 AM3709758473451263556.mp4,stories-organized/usa/texas/arlington/06.mp4,2025-08-29T03:54:40,6,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/06.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_8_29_2025_4_39_16 PM3710143262036705301.mp4,stories-organized/usa/texas/arlington/07.mp4,2025-08-29T16:39:16,7,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/07.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_8_29_2025_5_26_40 PM3710167214742159604.mp4,stories-organized/usa/texas/arlington/08.mp4,2025-08-29T17:26:40,8,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/08.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_8_29_2025_5_31_54 PM3710169695781980948.mp4,stories-organized/usa/texas/arlington/09.mp4,2025-08-29T17:31:54,9,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/09.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_8_29_2025_5_52_21 PM3710179998142623776.mp4,stories-organized/usa/texas/arlington/10.mp4,2025-08-29T17:52:21,10,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/10.mp4,usa,texas,arlington,Arlington,Arlington
Arlington,stories/Arlington/ash_1221w_story_10_5_2025_9_07_45 PM3737095038690964734.mp4,stories-organized/usa/texas/arlington/11.mp4,2025-10-05T21:07:45,11,mp4,video,https://cdn.ashzaeen.com/usa/texas/arlington/11.mp4,usa,texas,arlington,Arlington,Arlington
